origen,id_origen,cantidad_original,cantidad_redondeada,producto
detalle_pecosa,3361,18.672,19,
detalle_pecosa,3362,19.839,20,
detalle_pecosa,3363,13.226,13,
detalle_pecosa,3364,15.560,16,
detalle_pecosa,3365,15.949,16,
detalle_pecosa,3366,19.839,20,
detalle_pecosa,3367,20.617,21,
detalle_pecosa,3368,19.400,19,
detalle_pecosa,3369,15.560,16,
detalle_pecosa,3370,23.729,24,
detalle_pecosa,3371,12.059,12,
detalle_pecosa,3372,17.894,18,
detalle_pecosa,3373,27.230,27,
detalle_pecosa,3374,26.452,26,
detalle_pecosa,3375,31.898,32,
detalle_pecosa,3376,15.949,16,
detalle_pecosa,4807,26.196,26,
detalle_pecosa,4808,41.064,41,
detalle_pecosa,4809,46.020,46,
detalle_pecosa,4810,29.028,29,
detalle_pecosa,4811,27.612,28,
detalle_pecosa,4812,38.232,38,
detalle_pecosa,4813,17.700,18,
detalle_pecosa,4814,35.400,35,
detalle_pecosa,4815,23.364,23,
detalle_pecosa,4816,33.984,34,
detalle_pecosa,4817,22.656,23,
detalle_pecosa,4818,14.160,14,
detalle_pecosa,4819,27.612,28,
detalle_pecosa,4820,28.320,28,
detalle_pecosa,4821,14.160,14,
detalle_pecosa,4822,28.320,28,
detalle_pecosa,4823,24.780,25,
detalle_pecosa,4824,33.984,34,
detalle_pecosa,4825,22.656,23,
detalle_pecosa,4826,41.772,42,
detalle_pecosa,4827,36.816,37,
detalle_pecosa,4828,32.568,33,
detalle_pecosa,4829,21.240,21,
detalle_pecosa,4830,22.656,23,
detalle_pecosa,4831,17.700,18,
detalle_pecosa,4832,37.524,38,
detalle_pecosa,4833,25.488,25,
detalle_pecosa,4834,21.948,22,
detalle_pecosa,4835,16.992,17,
detalle_pecosa,4836,29.028,29,
detalle_pecosa,4837,33.276,33,
detalle_pecosa,4838,36.816,37,
detalle_pecosa,4839,25.488,25,
detalle_pecosa,4840,27.612,28,
detalle_pecosa,4841,48.850,49,
detalle_pecosa,4842,28.320,28,
detalle_pecosa,4843,24.780,25,
detalle_pecosa,4844,23.364,23,
detalle_pecosa,4845,26.196,26,
detalle_pecosa,4846,26.196,26,
detalle_pecosa,4847,35.400,35,
detalle_pecosa,4848,34.692,35,
